text,entropy,prob_spam,target
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.24939773682357694,0.04155959424571113,0
Ok lar... Joking wif u oni...,0.21316427785261124,0.03381235762052604,0
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0.8737294495122496,0.7060814455957145,1
U dun say so early hor... U c already then say...,0.22425017164564856,0.036128368937450195,0
"Nah I don't think he goes to usf, he lives around here though",0.2365034575424521,0.03874398219993033,0
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0.7665450905160603,0.2235211457321701,1
Even my brother is not like to speak with me. They treat me like aids patent.,0.2471139967045297,0.04105618936144764,0
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0.3457315582972475,0.06467542126143963,0
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0.6914504828057355,0.8147396615348598,1
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0.7604723368666084,0.7798329923095236,1
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0.13831651246442633,0.01944563196185188,0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0.4714218405538585,0.8992331206783053,1
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0.38588510770445633,0.9245653114134388,1
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0.28533241766348316,0.04974962239206814,0
I HAVE A DATE ON SUNDAY WITH WILL!!,0.43319228301942814,0.0890206154311077,0
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0.9866976120291576,0.5677943153843235,1
Oh k...i'm watching here:),0.20314434800623818,0.03176031415533917,0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0.2573735910529759,0.04333368758270111,0
Fine if thats the way u feel. Thats the way its gota b,0.19119040901281004,0.029363634598303073,0
